Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1763871511,50,,Aggregated,23.100000,1.400000,74,110,130,140,150,200,650,800,880,890,890,2195,87,74,111.20258710752316,2.2219978272914886,887.3918689787388,10578.666059225512
1763871512,50,,Aggregated,23.800000,1.300000,74,110,130,140,150,200,650,800,880,890,890,2219,89,74,110.85940651182604,2.2219978272914886,887.3918689787388,10578.750337990086
1763871513,50,,Aggregated,23.800000,1.300000,74,110,130,140,150,190,650,800,880,890,890,2244,89,74,110.7878522074212,2.2219978272914886,887.3918689787388,10608.700980392157
1763871514,50,,Aggregated,24.300000,1.700000,74,110,130,140,150,190,650,800,880,890,890,2269,89,74,110.52251644448963,2.2219978272914886,887.3918689787388,10606.645658880565
1763871515,50,,Aggregated,24.300000,1.600000,74,110,130,140,150,190,650,800,880,890,890,2292,89,74,110.25377342812261,2.2219978272914886,887.3918689787388,10623.921029668412
1763871516,50,,Aggregated,24.100000,1.500000,74,110,130,140,150,190,650,800,880,890,890,2318,90,74,110.023490483515,2.2219978272914886,887.3918689787388,10626.23209663503
1763871517,50,,Aggregated,24.500000,1.300000,74,110,130,140,150,190,650,800,880,890,890,2345,91,74,109.7160380007997,2.2219978272914886,887.3918689787388,10616.690405117271
1763871518,50,,Aggregated,24.000000,1.000000,74,100,130,140,150,190,650,800,880,890,890,2367,95,74,109.36900631638332,2.2219978272914886,887.3918689787388,10610.946768060836
1763871519,50,,Aggregated,25.200000,1.100000,73,110,130,140,150,190,650,800,880,890,890,2395,98,73,109.12194685827716,2.155400812625885,887.3918689787388,10618.50605427975
1763871520,50,,Aggregated,24.700000,1.300000,73,110,130,140,150,190,650,790,880,890,890,2420,99,73,108.92815012638727,2.155400812625885,887.3918689787388,10632.984297520661
1763871521,50,,Aggregated,24.700000,1.300000,73,110,130,140,150,190,650,790,880,890,890,2442,101,73,108.69719894918676,2.155400812625885,887.3918689787388,10638.787469287468
1763871522,50,,Aggregated,24.900000,1.400000,73,110,130,140,150,190,640,790,880,890,890,2473,101,73,108.42668499347174,2.155400812625885,887.3918689787388,10664.570966437524
